Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
CCDC134	1.09333391477307	3.86230575836516	4.61000786490434	7.49862135095008e-05	0.00174967831522168	1.4587258052294
USP27X	1.09374476293334	4.23183180070434	2.87271898072998	0.00753746853346441	0.0481350149082495	-2.90498079415397
TMEM147	1.09468750751377	7.99544127553265	4.91235494425415	3.24110862194919e-05	0.000948145208809016	2.26653204396118
ATAD5	1.0947751286932	4.11290315856861	3.27390675353272	0.00274681306237011	0.0239989016444817	-1.96754200417012
IFT80 /// TRIM59	1.09527600031715	4.80301617197244	3.19550700409417	0.00335822857563847	0.027359035711471	-2.15538641800183
TBC1D31	1.09535679463762	4.09473188816138	4.07266002822199	0.00032860971365117	0.00519066518809638	0.0423574315849349
MISP	1.09550185510767	4.69654258481499	2.45504741824962	0.0203264386010564	0.0976865214337652	-3.80719293000928
SP8	1.09596814651972	2.64427338665092	3.00339890324301	0.00545475007383536	0.0385503971564326	-2.60640691008537
LOC285419	1.09627007959762	1.20433857540924	1.63925194127319	0.11197250717529	0.306058815337436	-5.27787310671169
STOX1	1.09652099814792	2.04411462385302	2.37929222527071	0.0241487598528481	0.109888324264941	-3.96128163441933
MCM3AP-AS1	1.09667607164966	3.40793670427058	4.5974752988616	7.76336397818351e-05	0.00179718819652437	1.42535952603084
GBAP1	1.09722764247817	6.19561925093406	3.64133208513206	0.00104991562991401	0.0121465890878395	-1.06213904224231
DDX39A	1.09759721516255	7.65466311241601	5.00365958925746	2.51485896532276e-05	0.000789616440974651	2.51123323134817
DCST2	1.09782653798836	2.47008664422002	2.37490408780409	0.0243890973290515	0.110632896659459	-3.97010936798269
COLEC12	1.09788439516456	4.81136018066613	2.34493044872383	0.0260899069935769	0.115736441435105	-4.03011618476418
DGKI /// LOC100128727	1.09855943202253	2.29680823753734	2.49649683056583	0.018478114112162	0.0916888700249052	-3.72155849123551
RP11-382B18.4	1.09935219284801	1.880169896563	2.14494021551709	0.0404707860642574	0.156805650754895	-4.41695523042877
FZD6	1.10019737825621	5.38246306954543	3.21227679773258	0.00321737252657826	0.0266546677791901	-2.11538176235583
SKA3	1.10142544743044	4.37159603273156	3.4477863810728	0.00174914057789011	0.0173585596590613	-1.54389214220688
CLIC1	1.10165885050822	9.20906327854749	6.38606589383358	5.5702307428692e-07	5.19888202667792e-05	6.19550482253809
TMEM98	1.10184883317969	6.64152706110656	3.45005855909964	0.00173877224028967	0.0172775340479988	-1.53829585154364
UCHL1	1.10196453048901	4.34803073807454	2.0065073560721	0.0542127763654323	0.191078118464086	-4.67012886389709
GNG13	1.10389517331332	0.77315557570689	2.10728324217265	0.0438629621588908	0.165641465384048	-4.48704866111621
GOLGA2P7 /// LOC101929479 /// LOC642423 /// LOC727751 /// LOC80154	1.10490936350305	4.31227883485776	3.03966568038676	0.00498164769498581	0.0361407630432036	-2.52232446599667
C6orf147 /// KHDC1	1.10503976545763	1.4102450671321	2.34741589894927	0.025944875470651	0.115288772165069	-4.02515981510343
LOC648691	1.10508823849918	1.13209146709431	1.88092497522309	0.0700640392939131	0.226890569212837	-4.88875697332637
TUFT1	1.10542387540588	5.99690981651564	4.07693543181835	0.000324804342275312	0.00515478956161629	0.0534795862836477
POPDC3	1.10553383053426	1.3675896279515	1.79657169145579	0.0828343507591151	0.253152797538252	-5.02942660147089
RP11-68I3.11	1.10570846035606	2.44656398167238	2.18948905971666	0.0367614103027289	0.146648452162407	-4.33288321049967
CABLES2	1.10587097439588	5.14430950400642	4.02561039894432	0.000373494208602429	0.00569687664483082	-0.0798423446849261
AC004158.3 /// AK055364	1.1058978164783	0.693007854698618	2.23020752298319	0.0336406047951294	0.137987002685695	-4.25496918431227
BPIFC	1.10632117561567	1.17493689258243	2.39926774685332	0.0230817739562073	0.106343452193927	-3.92095961570667
C2orf54	1.1077993154196	4.83659793000344	3.62556645312444	0.00109480210969063	0.0125302898393789	-1.10174596234929
NEIL3	1.10781474347617	3.77103482846059	4.75135515537177	5.06791970590182e-05	0.00132135441355909	1.83577383207203
RP11-326I11.5	1.10881276750723	2.59288064787722	2.06523899064876	0.0479467030569641	0.175792120950864	-4.56423650007832
